Probe;Cycle;GPSDate;moving_average(Speed);moving_average(EngineSpeed);moving_average(Torque);moving_average(FuelRate)
100001.0;3.0;1.210737978E12;7.5;988.8;16.0;8.04
100001.0;3.0;1.21073798E12;8.7;1094.4;17.2;10.24
100001.0;3.0;1.210737982E12;11.0;1164.8;18.4;13.319999999999999
100001.0;3.0;1.210737984E12;14.5;1270.4;17.8;15.079999999999998
100001.0;3.0;1.210737985E12;18.4;1363.2;17.8;13.719999999999999
100001.0;3.0;1.210737987E12;21.1;1411.2;18.8;13.719999999999999
100001.0;3.0;1.210737989E12;23.6;1504.0;19.0;13.719999999999999
100001.0;3.0;1.210737991E12;26.0;1587.2;19.1;13.64
100001.0;3.0;1.210737993E12;28.4;1657.6;18.6;12.000000000000002
100001.0;3.0;1.210737995E12;30.1;1699.2;19.2;10.760000000000002
100001.0;3.0;1.210737997E12;31.1;1692.8;18.9;8.92
100001.0;3.0;1.210737999E12;31.3;1625.6;17.7;6.279999999999999
100001.0;3.0;1.210738001E12;30.2;1555.2;16.7;3.4
100001.0;3.0;1.210738003E12;27.7;1452.8;16.9;2.24
100001.0;3.0;1.210738005E12;24.3;1324.8;16.7;2.72
100001.0;3.0;1.210738007E12;20.7;1219.2;15.7;3.2
100001.0;3.0;1.210738009E12;17.4;1123.2;15.5;3.2399999999999998
100001.0;3.0;1.210738011E12;14.2;1033.6;15.4;3.28
100001.0;3.0;1.210738013E12;11.1;950.4;15.4;3.6799999999999997
100001.0;3.0;1.210738016E12;8.2;883.2;14.6;4.159999999999999
100001.0;3.0;1.210738018E12;5.5;828.8;14.7;4.639999999999999
100001.0;3.0;1.21073802E12;3.1;787.2;14.7;5.119999999999999
100001.0;3.0;1.210738022E12;1.5;787.2;14.5;4.92
100001.0;3.0;1.210738024E12;0.5;784.0;14.0;4.799999999999999
100001.0;3.0;1.210738026E12;0.0;784.0;14.0;4.799999999999999
100001.0;3.0;1.210738028E12;0.0;787.2;14.0;4.799999999999999
100001.0;3.0;1.21073803E12;0.0;787.2;14.0;4.799999999999999
100001.0;3.0;1.210738032E12;0.0;787.2;14.0;4.799999999999999
100001.0;3.0;1.210738034E12;0.0;787.2;14.0;4.799999999999999
100001.0;3.0;1.210738036E12;0.0;787.2;14.0;5.959999999999999
100001.0;3.0;1.210738038E12;0.0;784.0;14.1;5.84
100001.0;3.0;1.21073804E12;0.0;787.2;14.1;5.84
100001.0;3.0;1.210738042E12;0.0;787.2;14.1;5.84
100001.0;3.0;1.210738044E12;0.0;784.0;14.3;6.08
100001.0;3.0;1.210738045E12;0.0;787.2;14.5;6.639999999999999
100001.0;3.0;1.210738047E12;0.7;844.8;15.2;8.959999999999999
100001.0;3.0;1.210738049E12;1.9;873.6;15.4;9.559999999999999
100001.0;3.0;1.210738051E12;3.4;928.0;16.4;9.639999999999999
100001.0;3.0;1.210738053E12;5.1;976.0;16.3;9.16
100001.0;3.0;1.210738055E12;6.4;995.2;16.3;7.839999999999999
100001.0;3.0;1.210738057E12;7.5;1008.0;16.2;7.639999999999999
100001.0;3.0;1.210738059E12;8.4;1004.8;16.2;7.56
100001.0;3.0;1.210738061E12;9.1;1008.0;16.2;7.56
100001.0;3.0;1.210738063E12;9.4;1011.2;16.0;7.32
100001.0;3.0;1.210738065E12;9.4;1011.2;15.8;6.76
100001.0;3.0;1.210738067E12;8.7;950.4;15.1;4.4399999999999995
100001.0;3.0;1.210738069E12;7.5;921.6;14.9;3.84
100001.0;3.0;1.210738071E12;6.0;867.2;13.9;3.7600000000000002
100001.0;3.0;1.210738073E12;4.3;816.0;14.0;4.24
100001.0;3.0;1.210738076E12;3.0;796.8;14.0;4.3999999999999995
100001.0;3.0;1.210738078E12;1.9;787.2;14.0;4.72
100001.0;3.0;1.21073808E12;1.0;787.2;14.0;4.799999999999999
100001.0;3.0;1.210738082E12;0.3;784.0;14.0;4.799999999999999
100001.0;3.0;1.210738084E12;0.0;784.0;14.0;4.799999999999999
100001.0;3.0;1.210738086E12;0.0;780.8;14.0;4.799999999999999
100001.0;3.0;1.210738088E12;0.0;784.0;14.0;4.799999999999999
100001.0;3.0;1.21073809E12;0.0;784.0;14.0;4.799999999999999
100001.0;3.0;1.210738092E12;0.0;787.2;14.0;4.799999999999999
100001.0;3.0;1.210738094E12;0.0;790.4;14.0;4.799999999999999
100001.0;3.0;1.210738096E12;0.0;790.4;14.0;4.799999999999999
100001.0;3.0;1.210738098E12;0.0;790.4;14.0;4.799999999999999
100001.0;3.0;1.2107381E12;0.0;793.6;14.0;4.799999999999999
100001.0;3.0;1.210738102E12;0.0;793.6;14.0;4.799999999999999
100001.0;3.0;1.210738104E12;0.0;796.8;14.0;4.319999999999999
100001.0;3.0;1.210738105E12;0.0;796.8;14.0;4.4
100001.0;3.0;1.210738107E12;0.0;796.8;14.0;4.44
100001.0;3.0;1.210738109E12;0.0;796.8;14.0;4.48
100001.0;3.0;1.210738111E12;0.0;793.6;14.0;4.6000000000000005
100001.0;3.0;1.210738113E12;0.0;793.6;14.0;4.64
100001.0;3.0;1.210738115E12;0.0;793.6;14.0;4.680000000000001
100001.0;3.0;1.210738117E12;0.0;793.6;14.0;4.720000000000001
100001.0;3.0;1.210738119E12;0.0;793.6;14.0;5.24
100001.0;3.0;1.210738121E12;0.0;793.6;14.0;5.5600000000000005
100001.0;3.0;1.210738123E12;0.0;787.2;14.0;6.04
100001.0;3.0;1.210738125E12;0.0;790.4;14.0;5.959999999999999
100001.0;3.0;1.210738127E12;0.0;790.4;14.0;5.919999999999999
100001.0;3.0;1.210738129E12;0.0;787.2;14.2;5.919999999999999
100001.0;3.0;1.210738131E12;0.0;790.4;14.6;5.319999999999999
100001.0;3.0;1.210738133E12;0.5;822.4;15.8;8.079999999999998
100001.0;3.0;1.210738136E12;2.0;864.0;16.5;8.76
100001.0;3.0;1.210738138E12;3.5;902.4;16.4;8.24
100001.0;3.0;1.21073814E12;4.6;908.8;16.4;7.5200000000000005
100001.0;3.0;1.210738142E12;5.5;905.6;17.4;7.239999999999999
100001.0;3.0;1.210738144E12;6.7;928.0;17.8;8.68
